bird_id	D14A1	D14A2	D14A3	D14A4	D14B1	D14B2	D14B3	D14B4	D14C1	D14C2	D14C3	D14C4	D21A1	D21A2	D21A3	D21A4	D21B1	D21B2	D21B3	D21B4	D21C1	D21C2	D21C3	D21C4	D35A1	D35A2	D35A4	D35B2	D35B4	D35C1	D35C2	D35C3	D3A2	D3A4	D3B1	D3B2	D3C1	D3C2	D3C3	D3C4	D35A3	D35B3	D35C4	D3A3	D3B3	D3B4	D35B1
Fimenecus stercoravium	0.0	0.00088	0.0	0.00337	0.0	0.0	0.0	0.00495	0.0	0.0	0.0	0.00893	0.0	0.0	0.00448	0.00551	0.0	0.00556	0.0	0.0023	0.00135	0.0	0.0	0.00433	0.0	0.0	0.01216	0.0	0.0171	0.01593	0.0	0.00891	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00523	0.00386	0.00791	0.0	0.0	0.0	0.00715
Faecousia gallistercoris	0.0	0.00274	0.0	0.0	0.0	0.00991	0.0	0.0	0.00128	0.0	0.0045	0.0	0.0	0.0019	0.00521	0.01054	0.0095	0.01829	0.01392	0.00866	0.00278	0.0026	0.00703	0.01015	0.00293	0.0027	0.00148	0.00124	0.00195	0.00064	0.00241	0.00284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01735	0.00168	0.00081	0.0	0.0	0.0	0.00453
Massiliomicrobiota sp002160865	0.00177	0.00076	0.00193	0.00155	0.0012	0.00064	0.00169	0.00175	0.0	0.00235	0.00179	0.00085	0.0	0.0	0.00527	0.0	0.00133	0.0	0.00113	0.00166	0.00087	0.0016	0.0	0.00086	0.00279	0.0	0.0	0.00202	0.0	0.00079	0.00182	0.00267	0.0	0.0	0.0004	0.0	0.0	0.0	0.0	0.0	0.00305	0.00392	0.00299	0.0	0.0	0.0	0.0
Pelethenecus faecipullorum	0.0	0.01184	0.0	0.0	0.0	0.01265	0.0	0.0	0.0006	0.00277	0.0	0.0	0.0067	0.0	0.00137	0.00543	0.00597	0.00784	0.0	0.00206	0.00895	0.00921	0.00407	0.00066	0.00243	0.00267	0.0	0.0029	0.00504	0.00044	0.0	0.00147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00614	0.00411	0.0	0.0	0.0	0.0	0.00771
Massilicoli timonensis	0.0	0.0	0.0	0.0	0.0	0.00507	0.0	0.0	0.0	0.0	0.00038	0.0	0.0	0.0	0.00527	0.00543	0.00306	0.0	0.00316	0.0022	0.00029	0.0	0.0	0.00049	0.00171	0.00925	0.01449	0.00907	0.01648	0.00505	0.00835	0.00395	0.0	0.00267	0.00058	0.0	0.0	0.0	0.0	0.0	0.00748	0.00591	0.00658	0.00107	0.0	0.0	0.00206
Alistipes excrementavium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03507	0.02671	0.03768	0.03613	0.06528	0.03515	0.03976	0.05832	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03861	0.04686	0.06807	0.0	0.0	0.0	0.05751
Fimimorpha sp900045905	0.0	0.01133	0.00228	0.03606	0.0	0.00128	0.0	0.05746	0.0	0.0	0.0	0.00057	0.0	0.0	0.0	0.00081	0.0	0.0043	0.0	0.00456	0.00049	0.0	0.0	0.00059	0.0	0.0	0.0	0.00032	0.0	0.00058	0.00095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0
Scatavimonas merdigallinarum	0.0	0.00458	0.00187	0.00127	0.002	0.00128	0.0	0.00227	0.00269	0.00562	0.00235	0.0	0.0	0.00278	0.00111	0.00138	0.00119	0.0043	0.00125	0.00239	0.00353	0.00137	0.00284	0.00517	0.0	0.00145	0.00199	0.00031	0.00176	0.00583	0.00145	0.0	0.0	0.0	0.00031	0.0	0.0	0.0	0.00023	0.0	0.0	0.0	0.00251	0.0	0.0	0.0	0.0
Anaerobutyricum faecale	0.00114	0.0016	0.0017	0.00162	0.00227	0.00151	0.00117	0.00129	0.00156	0.00122	0.00073	0.00209	0.0	0.00118	0.0	0.00146	0.0009	0.0	0.00101	0.00136	0.00127	0.00187	0.00077	0.00148	0.0	0.00086	0.00261	0.00053	0.0	0.00184	0.0	0.0009	0.0	0.0	0.00138	0.0	0.00169	0.00197	0.00034	0.0	0.0	0.0	0.00159	0.00351	0.0	0.0	0.0
Agathobaculum stercoravium	0.0	0.0	0.00152	0.00703	0.00844	0.00128	0.00087	0.00439	0.01234	0.00095	0.001	0.00661	0.0	0.0	0.00506	0.00203	0.00467	0.0	0.0	0.00164	0.00036	0.00093	0.0	0.00092	0.0	0.00283	0.00148	0.00025	0.0	0.00047	0.0	0.00059	0.0	0.0	0.00216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00116
Mediterraneibacter excrementigallinarum_A	0.00578	0.00138	0.0041	0.0064	0.00609	0.00166	0.00381	0.00381	0.00662	0.00304	0.00312	0.00375	0.0	0.0	0.00195	0.00223	0.00074	0.0	0.00295	0.00057	0.00475	0.0	0.00446	0.00147	0.0	0.0	0.0	0.00036	0.0	0.00049	0.0	0.00086	0.0	0.0	0.01646	0.0	0.01312	0.01174	0.00109	0.00281	0.0	0.0	0.0	0.01003	0.0	0.0	0.0
Escherichia sp002965065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00026	0.00109	0.0	0.0	0.0	0.0	0.00074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00295	0.0004	0.00907	0.0	0.00149	0.00157	0.00437	0.0	0.0	0.0	0.0	0.0	0.01088	0.0
Ventrimonas merdavium	0.0	0.00079	0.0	0.0	0.0	0.00181	0.00247	0.0	0.00395	0.00173	0.0	0.00283	0.00722	0.00983	0.00595	0.00547	0.00315	0.00826	0.00498	0.00301	0.00338	0.00177	0.00242	0.0123	0.0	0.00247	0.0	0.00113	0.0	0.0015	0.00159	0.0005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00117	0.00218	0.0	0.0	0.0	0.0	0.0
Mediterraneibacter norwichensis	0.00446	0.0	0.01334	0.0	0.0	0.00836	0.00208	0.0	0.0	0.01072	0.00127	0.01529	0.0	0.00355	0.00769	0.00223	0.00249	0.0	0.01351	0.00147	0.00312	0.00143	0.00304	0.0042	0.002	0.0	0.00136	0.00393	0.0	0.00434	0.00586	0.00069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00785	0.00305	0.00218	0.00366	0.00438	0.0	0.0	0.01093
Mediterraneibacter surreyensis	0.0099	0.00086	0.0	0.0019	0.00341	0.00325	0.00182	0.00154	0.00483	0.0021	0.00129	0.00189	0.0	0.0	0.0	0.00393	0.00072	0.0	0.0038	0.00121	0.00181	0.00107	0.00185	0.00269	0.00771	0.0	0.0	0.00043	0.0	0.00073	0.0	0.0	0.0	0.0	0.00188	0.0	0.00719	0.0053	0.00094	0.0	0.00059	0.00168	0.0	0.00626	0.0	0.0	0.0
Mediterraneibacter ornithocaccae	0.00132	0.0011	0.00257	0.00475	0.00343	0.00109	0.00329	0.00209	0.00456	0.00198	0.00342	0.00462	0.0	0.0016	0.00163	0.00097	0.00186	0.0	0.00267	0.00113	0.00105	0.0	0.00477	0.00127	0.0	0.0	0.0	0.00037	0.0	0.0	0.0	0.0	0.0	0.0	0.00331	0.0	0.0075	0.00641	0.0	0.00252	0.00056	0.0	0.0	0.00749	0.0	0.0	0.0
Mediterraneibacter merdavium	0.0063	0.00122	0.0	0.00492	0.0	0.01941	0.00156	0.00187	0.00093	0.0	0.00231	0.00865	0.02114	0.01611	0.00321	0.00653	0.01811	0.00329	0.01084	0.07878	0.02382	0.03753	0.00427	0.00138	0.00707	0.0	0.0	0.00028	0.0	0.00114	0.0029	0.00439	0.0091	0.0	0.0024	0.0	0.0	0.0	0.00132	0.0	0.00223	0.0023	0.01563	0.01284	0.0	0.0	0.0
Fimiplasma intestinipullorum	0.0	0.00537	0.0	0.0	0.0	0.00199	0.0	0.00396	0.0	0.00244	0.0	0.00184	0.0	0.00124	0.00121	0.00142	0.00153	0.00337	0.00247	0.00247	0.0042	0.00173	0.0	0.00511	0.0	0.0027	0.0025	0.00116	0.00113	0.00097	0.00381	0.00269	0.0	0.0	0.00031	0.0	0.0	0.0	0.0	0.0	0.00052	0.00442	0.00188	0.0	0.0	0.0	0.00222
Dysosmobacter avistercoris	0.00132	0.00095	0.0	0.00081	0.0012	0.00553	0.00113	0.00369	0.00176	0.00327	0.00311	0.00094	0.0	0.0	0.00348	0.00105	0.00234	0.0	0.00121	0.00304	0.01403	0.001	0.00192	0.00199	0.0	0.00066	0.0	0.00064	0.0	0.00042	0.00104	0.00082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00096	0.0	0.00129	0.0	0.0	0.0	0.00121
