bird_id	D14A1	D14A2	D14A3	D14A4	D14B1	D14B2	D14B3	D14B4	D14C1	D14C2	D14C3	D14C4	D21A1	D21A2	D21A3	D21A4	D21B1	D21B2	D21B3	D21B4	D21C1	D21C2	D21C3	D21C4	D35A1	D35A2	D35A3	D35A4	D35B1	D35B2	D35B3	D35B4	D35C1	D35C2	D35C3	D35C4	D3A2	D3A3	D3A4	D3B1	D3B2	D3B3	D3B4	D3C1	D3C2	D3C3	D3C4
NSJ-51 sp900549795	0.00048	0.00166	0.00066	0.00159	0.00121	0.00052	0.00198	0.00067	0.0021	0.00188	0.0005	0.00077	0.0004	0.00071	0.00063	0.0003	0.00071	0.00093	0.00048	0.00044	0.00038	0.00046	0.00039	0.00036	0.0003	0.00018	0.0005	0.00026	0.0003	0.00031	0.00055	0.0004	0.00033	0.0004	0.00057	0.00047	0.00042	0.00083	0.00019	0.00014	0.0	0.0001	0.0	0.00078	0.00148	0.0	0.0
Scatomorpha intestinigallinarum	8e-05	0.00037	0.0001	0.0003	0.00018	0.00015	0.00011	0.00017	0.0002	0.00027	0.00015	7e-05	0.00205	0.00245	0.00025	0.00017	0.0001	0.00013	0.00021	0.00017	0.00038	0.00256	0.00012	0.00025	0.00307	0.00242	0.00573	0.00109	0.00179	0.00079	0.00027	0.00123	0.00077	0.00561	0.00084	0.00051	0.0	4e-05	0.0	5e-05	0.0	0.0	0.0	0.0	0.0	5e-05	0.0
Scatomorpha pullicola	6e-05	7e-05	0.00017	9e-05	0.00013	8e-05	6e-05	0.00015	8e-05	0.0001	8e-05	9e-05	0.00105	0.00061	0.00761	0.00015	0.00079	0.00013	0.00066	0.00018	0.0001	0.0013	0.00026	9e-05	0.00059	0.00017	0.00047	0.00018	0.00073	0.00019	0.00061	0.0006	0.00024	0.0004	0.00076	0.00036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00012	0.0
Avoscillospira_A avistercoris	0.00017	0.00012	0.00011	7e-05	0.00018	0.00011	9e-05	0.00017	0.00015	8e-05	7e-05	8e-05	0.00012	0.0069	5e-05	0.0001	0.00102	0.00026	0.00114	0.00011	7e-05	0.00119	0.0008	6e-05	0.00407	0.00076	0.00809	0.00042	0.00079	0.0011	0.00233	0.0012	0.00209	0.0053	0.00496	0.00134	1e-05	4e-05	4e-05	9e-05	0.0	0.0	0.0	0.00012	8e-05	0.0	0.0
CAJFPI01 sp904420435	0.0001	0.00215	0.0	6e-05	0.0001	0.00029	0.0	0.00188	0.00113	0.00015	0.00193	0.00046	0.00062	0.0004	0.00028	0.00033	0.00094	0.00185	0.00033	0.00018	0.0008	0.00034	0.00066	0.00052	0.00072	0.00098	0.00072	0.00048	0.00104	0.00037	0.00028	0.00063	0.00076	0.00049	0.00127	0.00057	0.0	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pelethomonas sp017887695	1e-05	6e-05	0.0	0.00017	3e-05	9e-05	4e-05	0.00011	9e-05	4e-05	8e-05	5e-05	7e-05	0.00011	7e-05	7e-05	6e-05	6e-05	0.00016	8e-05	6e-05	0.00016	9e-05	7e-05	0.00083	0.00123	0.00239	0.00084	0.00408	0.00069	0.0022	0.00531	0.00544	0.00157	0.01464	0.00139	0.0	0.0	0.0	0.0	0.0	0.0	2e-05	0.0	0.0	0.0	0.0
CAJFPI01 sp904419145	6e-05	7e-05	9e-05	0.00151	0.00013	6e-05	4e-05	0.00012	0.0001	0.00033	4e-05	4e-05	0.00045	0.00056	0.00069	0.00148	0.00053	0.00072	0.00035	0.00086	0.00013	0.00033	0.00018	0.00116	0.00073	0.00032	0.00099	0.00099	0.00115	0.00032	0.00095	0.00165	0.00048	0.00043	0.00091	0.00121	0.0	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	4e-05	0.0	0.0
Evtepia excrementipullorum	1e-05	0.0	0.00021	0.0	2e-05	1e-05	3e-05	0.0	7e-05	7e-05	6e-05	0.0	0.00114	0.00094	0.00182	0.00024	0.00206	4e-05	3e-05	0.00246	0.00179	0.00078	0.0019	0.00017	7e-05	0.00039	0.00071	0.00039	0.00104	0.00011	0.00046	0.00083	0.00033	0.00477	0.00076	0.00036	0.0	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Avoscillospira avicola	7e-05	5e-05	2e-05	7e-05	0.00011	0.00015	3e-05	7e-05	0.00022	0.00016	7e-05	0.00017	0.00027	0.0001	9e-05	0.00011	0.0001	0.00039	0.00128	0.00013	0.00016	6e-05	0.0001	0.0001	0.00745	0.00148	0.00347	0.00023	0.00162	0.00016	0.00122	0.00197	0.00205	0.00077	0.00035	0.00065	0.0	0.00023	0.0	0.00013	0.0	7e-05	0.0	5e-05	0.00025	4e-05	0.0
Avoscillospira stercoripullorum	1e-05	4e-05	0.0	3e-05	2e-05	7e-05	0.0	0.0	0.00014	0.0	4e-05	4e-05	0.00469	6e-05	5e-05	5e-05	7e-05	8e-05	4e-05	0.00229	0.00124	3e-05	6e-05	3e-05	0.0006	0.00017	0.00316	0.00082	0.00048	0.0004	0.00041	0.00137	0.00063	0.00178	0.00309	0.00023	0.0	1e-05	3e-05	0.00019	0.0	0.0	0.0	0.0	0.0	3e-05	0.0
